Consortia_Name,PracticeName,HRG,Specialty_Name,SLA_Total_Cost
H85019,GP Centre - Longley,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,434
H85020,Church Lane  ,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,434
H85021,Chesser Practice,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,434
H85021,Chesser Practice,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,453
H85022,Park Road Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,453
H85022,Park Road Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,453
H85023,Bishopsford Road Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,928
H85024,Mitcham Medical Centre,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,"1,013.00"
H85025,Wrythe Green Surgery,NZ11B - Normal Delivery without CC,560 - Midwife Episode,"1,271.00"
H85026,Francis Grove Surgery,DZ16A - Pleural Effusion with Major CC,300 - General Medicine,"4,164.00"
H85027,Wimbledon Village Surgery,DZ19A - Other Respiratory Diagnoses with Major CC,300 - General Medicine,"2,281.00"
H85028,Princes Road Surgery,EA29Z - Complex Ablation (includes Atrial Fibrillation or Ventricular Tachycardia),320 - Cardiology,"9,005.00"
H85029,Wide Way Medical Centre,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,892
H85030,Drs Elliott Grice and Partners,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,647
H85031,Benhill and Belmont,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,892
H85032,Carshalton Fields,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,"1,203.00"
H85033,Tamworth House Medical Centre,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,842
H85034,Pepys Road Surgery,FZ02Z - Very Major Oesophageal Procedures,300 - General Medicine,"7,341.00"
H85035,Rowans Surgery,FZ25B - Therapeutic Endoscopic or Intermediate Stomach or Duodenum Procedures 18 years and under,420 - Paediatrics,"1,187.00"
